horario_id,deporte,dia,hora_inicio,hora_fin,cupo_maximo,cupos_ocupados,estado,precio,plan,categoria,nivel,año_min,año_max,genero
1,MAMAS FIT,LUNES,6:30,7:40,20,0,activo,60,Económico,,,,,Femenino
2,MAMAS FIT,LUNES,7:45,9:00,20,,activo,60,Económico,,,,,Femenino
3,Fútbol,LUNES,8:10,9:20,20,0,activo,60,Económico,2011-2012,,2011,2012,Mixto
4,Fútbol,LUNES,8:10,9:20,20,2,activo,60,Económico,2014-2013,,2013,2014,Mixto
5,Fútbol Femenino,LUNES,9:20,10:30,20,2,activo,60,Económico,2010-2015,,2010,2015,Femenino
6,Fútbol,LUNES,10:30,11:40,20,0,activo,60,Económico,2016-2015,,2015,2016,Mixto
7,Fútbol,LUNES,10:30,11:40,20,0,activo,60,Económico,2009-2010,,2009,2010,Mixto
8,Fútbol,LUNES,11:40,12:50,20,0,activo,60,Económico,2018-2017,,2017,2018,Mixto
9,MAMAS FIT,MIERCOLES,6:30,7:45,20,0,activo,60,Económico,,,,,Femenino
10,MAMAS FIT,MIERCOLES,7:45,9:00,20,,activo,60,Económico,,,,,Femenino
11,Fútbol,MIERCOLES,8:10,9:20,20,0,activo,60,Económico,2011-2012,,2011,2012,Mixto
12,Fútbol,MIERCOLES,8:10,9:20,20,2,activo,60,Económico,2014-2013,,2013,2014,Mixto
13,Fútbol Femenino,MIERCOLES,9:20,10:30,20,2,activo,60,Económico,2010-2015,,2010,2015,Femenino
14,Fútbol,MIERCOLES,10:30,11:40,20,0,activo,60,Económico,2016-2015,,2015,2016,Mixto
15,Fútbol,MIERCOLES,10:30,11:40,20,0,activo,60,Económico,2009-2010,,2009,2010,Mixto
16,Fútbol,MIERCOLES,11:40,12:50,20,0,activo,60,Económico,2018-2017,,2017,2018,Mixto
17,Vóley,LUNES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
18,Vóley,LUNES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
19,Vóley,LUNES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
20,Vóley,LUNES,9:40,10:50,20,0,activo,60,Económico,2012-2013,,2012,2013,Mixto
21,Vóley,LUNES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
22,Vóley,LUNES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
23,Vóley,MIERCOLES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
24,Vóley,MIERCOLES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
25,Vóley,MIERCOLES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
26,Vóley,MIERCOLES,9:40,10:50,20,0,activo,60,Económico,2012-2013,,2012,2013,Mixto
27,Vóley,MIERCOLES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
28,Vóley,MIERCOLES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
29,MAMAS FIT,VIERNES,6:30,7:45,20,0,activo,60,Económico,,,,,Femenino
30,MAMAS FIT,VIERNES,7:45,9:00,20,0,activo,60,Económico,,,,,Femenino
31,Vóley,VIERNES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
32,Vóley,VIERNES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
33,Vóley,VIERNES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
34,Vóley,VIERNES,9:40,10:50,20,2,activo,60,Económico,2012-2013,,2012,2013,Mixto
35,Vóley,VIERNES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
36,Vóley,VIERNES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
37,Fútbol,VIERNES,8:10,9:20,20,0,activo,60,Económico,2011-2012,,2011,2012,Mixto
38,Fútbol,VIERNES,8:10,9:20,20,0,activo,60,Económico,2014-2013,,2013,2014,Mixto
39,Fútbol Femenino,VIERNES,9:20,10:30,20,0,activo,60,Económico,2010-2015,,2010,2015,Femenino
40,Fútbol,VIERNES,10:30,11:40,20,0,activo,60,Económico,2016-2015,,2015,2016,Mixto
41,Fútbol,VIERNES,10:30,11:40,20,0,activo,60,Económico,2009-2010,,2009,2010,Mixto
42,Fútbol,VIERNES,11:40,12:50,20,0,activo,60,Económico,2018-2017,,2017,2018,Mixto
43,Básquet,MARTES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
44,Básquet,MARTES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
45,Básquet,MARTES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
46,Básquet,MARTES,9:40,10:50,20,2,activo,60,Económico,2012-2013,,2012,2013,Mixto
47,Básquet,MARTES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
48,Básquet,MARTES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
49,Básquet,JUEVES,8:30,9:40,20,0,activo,60,Económico,2009-2008,,2008,2009,Mixto
50,Básquet,JUEVES,8:30,9:40,20,0,activo,60,Económico,2010,,2010,2010,Mixto
51,Básquet,JUEVES,9:40,10:50,20,0,activo,60,Económico,2011,,2011,2011,Mixto
52,Básquet,JUEVES,9:40,10:50,20,2,activo,60,Económico,2012-2013,,2012,2013,Mixto
53,Básquet,JUEVES,10:50,12:00,20,0,activo,60,Económico,2014,,2014,2014,Mixto
54,Básquet,JUEVES,10:50,12:00,20,0,activo,60,Económico,2015-2016,,2015,2016,Mixto
55,ASODE,SABADO,15:30,16:30,20,0,activo,200,Premium,2009-2010,PC,2009,2010,Mixto
56,ASODE,SABADO,15:30,16:30,20,0,activo,200,Premium,2011-2012,PC,2011,2012,Mixto
57,ASODE,SABADO,16:30,17:30,20,2,activo,200,Premium,2012-2013,PC,2012,2013,Mixto
58,ASODE,SABADO,16:30,17:30,20,0,activo,200,Premium,2014,PC,2014,2014,Mixto
59,ASODE,SABADO,17:30,18:30,20,0,activo,200,Premium,2015-2016,PC,2015,2016,Mixto
60,ASODE,SABADO,17:30,18:30,20,0,activo,200,Premium,2017,PC,2017,2017,Mixto
61,Fútbol,LUNES,15:30,16:55,20,0,activo,120,Estándar,2020-2021,NF,2019,2021,Mixto
62,Fútbol,LUNES,15:30,16:55,20,0,activo,120,Estándar,2019-2020,I,2019,2020,Mixto
63,Fútbol,LUNES,15:30,16:55,20,0,activo,0,,2020-2021,,2020,2021,Mixto
64,Fútbol,LUNES,15:30,16:55,20,0,activo,0,,2019,,2019,2019,Mixto
65,Fútbol,LUNES,17:00,18:25,20,0,activo,200,Premium,2017,PC,2017,2017,Mixto
66,Fútbol,LUNES,17:00,18:25,20,0,activo,200,Premium,2016,PC,2016,2016,Mixto
67,Fútbol,LUNES,17:00,18:25,20,0,activo,120,Estándar,2014,I,2014,2014,Mixto
68,Fútbol,LUNES,17:00,18:25,20,0,activo,120,Estándar,2015,NF,2015,2015,Mixto
69,Fútbol,LUNES,18:30,19:55,20,0,activo,200,Premium,2014,PC,2014,2014,Mixto
70,Fútbol,LUNES,18:30,19:55,20,0,activo,200,Premium,2015,PC,2015,2015,Mixto
71,Fútbol,LUNES,18:30,19:55,20,0,activo,200,Premium,2013-2014-2015,PC,2013,2015,Mixto
72,Fútbol,MIERCOLES,15:30,16:55,20,0,activo,120,Estándar,2020-2021,NF,2019,2021,Mixto
73,Fútbol,MIERCOLES,15:30,16:55,20,0,activo,120,Estándar,2019,I,2019,2019,Mixto
74,Fútbol,MIERCOLES,15:30,16:55,20,0,activo,0,,2020-2021,,2020,2021,Mixto
75,Fútbol,MIERCOLES,15:30,16:55,20,0,activo,0,,2019,,2019,2019,Mixto
76,Fútbol,MIERCOLES,17:00,18:25,20,0,activo,200,Premium,2017,PC,2017,2017,Mixto
77,Fútbol,MIERCOLES,17:00,18:25,20,0,activo,200,Premium,2016,PC,2016,2016,Mixto
78,Fútbol,MIERCOLES,17:00,18:25,20,0,activo,120,Estándar,2014,I,2014,2014,Mixto
79,Fútbol,MIERCOLES,17:00,18:25,20,0,activo,120,Estándar,2015,NF,2015,2015,Mixto
80,Fútbol,MIERCOLES,18:30,19:55,20,0,activo,200,Premium,2014,PC,2014,2014,Mixto
81,Fútbol,MIERCOLES,18:30,19:55,20,0,activo,200,Premium,2015,PC,2015,2015,Mixto
82,Fútbol,MIERCOLES,18:30,19:55,20,0,activo,200,Premium,2013-2014-2015,PREMIUM,2013,2015,Mixto
83,Fútbol,VIERNES,17:00,18:25,20,0,activo,200,Premium,2017,PC,2017,2017,Mixto
84,Fútbol,VIERNES,17:00,18:25,20,0,activo,200,Premium,2016,PC,2016,2016,Mixto
85,Fútbol,VIERNES,17:00,18:25,20,0,activo,120,Estándar,2014,I,2014,2014,Mixto
86,Fútbol,VIERNES,17:00,18:25,20,0,activo,120,Estándar,2015,NF,2015,2015,Mixto
87,Fútbol,VIERNES,18:30,19:55,20,0,activo,200,Premium,2014,PC,2014,2014,Mixto
88,Fútbol,VIERNES,18:30,19:55,20,0,activo,200,Premium,2015,PC,2015,2015,Mixto
89,Fútbol,VIERNES,18:30,19:55,20,2,activo,200,Premium,2013-2014-2015,PREMIUM,2013,2015,Mixto
90,Fútbol,MARTES,15:30,16:50,20,0,activo,120,Estándar,2018-2019,NF,2018,2019,Mixto
91,Fútbol,MARTES,15:30,16:50,20,0,activo,120,Estándar,2020-2021,NF,2020,2021,Mixto
92,Fútbol,MARTES,15:30,16:50,20,0,activo,120,Estándar,2008-2009-2010-2011,NF,2008,2011,Mixto
93,Fútbol,MARTES,17:00,18:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
94,Fútbol,MARTES,17:00,18:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
95,Fútbol,MARTES,17:00,18:20,20,2,activo,120,Estándar,2014-2013-2012,NF,2012,2014,Mixto
96,Fútbol,MARTES,18:30,19:50,20,0,activo,200,Premium,2009-2010-2011-2012,PC,2009,2012,Mixto
97,Fútbol,JUEVES,15:30,16:50,20,0,activo,120,Estándar,2018-2019,NF,2018,2019,Mixto
98,Fútbol,JUEVES,15:30,16:50,20,0,activo,120,Estándar,2020-2021,NF,2020,2021,Mixto
99,Fútbol,JUEVES,15:30,16:50,20,0,activo,120,Estándar,2008-2009-2010-2011,NF,2008,2011,Mixto
100,Fútbol,JUEVES,17:00,18:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
101,Fútbol,JUEVES,17:00,18:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
102,Fútbol,JUEVES,17:00,18:20,20,2,activo,120,Estándar,2014-2013-2012,NF,2012,2014,Mixto
103,Fútbol,JUEVES,18:30,19:50,20,0,activo,200,Premium,2009-2010-2011-2012,PREMIUM,2009,2012,Mixto
104,Fútbol,SABADO,8:30,9:50,20,0,activo,0,,2008-2009,,2008,2009,Mixto
105,Fútbol,SABADO,8:30,9:50,20,0,activo,120,Estándar,2010-2011,NF,2010,2011,Mixto
106,Fútbol,SABADO,8:30,9:50,20,2,activo,120,Estándar,2012-2013,NF,2012,2013,Mixto
107,Fútbol,SABADO,8:30,9:50,20,0,activo,120,Estándar,2014,NF,2014,2014,Mixto
108,Fútbol,SABADO,10:00,11:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
109,Fútbol,SABADO,10:00,11:20,20,0,activo,120,Estándar,2017-2016,NF,2016,2017,Mixto
110,Vóley,LUNES,14:30,16:00,20,0,activo,120,Estándar,2013-2014,BÁSICO,2013,2014,Mixto
111,Vóley,LUNES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,BÁSICO,2015,2016,Mixto
112,Vóley,LUNES,16:00,17:30,20,0,activo,120,Estándar,2010-2009,BÁSICO,2009,2010,Mixto
113,Vóley,LUNES,16:00,17:30,20,0,activo,120,Estándar,2012-2011,BÁSICO,2011,2012,Mixto
114,Vóley,LUNES,17:30,19:00,20,0,activo,120,Estándar,2011-2010,AVANZADO,2010,2011,Mixto
115,Vóley,LUNES,17:30,19:00,20,0,activo,120,Estándar,2013-2012,AVANZADO,2012,2013,Mixto
116,GYM JUVENIL,LUNES,15:00,16:00,20,0,activo,100,Estándar,2005-2009,AVANZADO,2005,2009,Mixto
117,MAMAS FIT,LUNES,16:00,17:00,20,0,activo,60,,,,,,Femenino
118,Vóley,MIERCOLES,14:30,16:00,20,0,activo,120,Estándar,2013-2014,BÁSICO,2013,2014,Mixto
119,Vóley,MIERCOLES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,BÁSICO,2015,2016,Mixto
120,Vóley,MIERCOLES,16:00,17:30,20,0,activo,120,Estándar,2010-2009,BÁSICO,2009,2010,Mixto
121,Vóley,MIERCOLES,16:00,17:30,20,0,activo,120,Estándar,2012-2011,BÁSICO,2011,2012,Mixto
122,Vóley,MIERCOLES,17:30,19:00,20,0,activo,120,Estándar,2011-2010,AVANZADO,2010,2011,Mixto
123,Vóley,MIERCOLES,17:30,19:00,20,0,activo,120,Estándar,2013-2012,AVANZADO,2012,2013,Mixto
124,Vóley,VIERNES,14:30,16:00,20,0,activo,120,Estándar,2013-2014,BÁSICO,2013,2014,Mixto
125,Vóley,VIERNES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,BÁSICO,2015,2016,Mixto
126,Vóley,VIERNES,16:00,17:30,20,0,activo,120,Estándar,2010-2009,BÁSICO,2009,2010,Mixto
127,Vóley,VIERNES,16:00,17:30,20,0,activo,120,Estándar,2012-2011,BÁSICO,2011,2012,Mixto
128,Vóley,VIERNES,17:30,19:00,20,0,activo,120,Estándar,2011-2010,AVANZADO,2010,2011,Mixto
129,Vóley,VIERNES,17:30,19:00,20,0,activo,120,Estándar,2013-2012,AVANZADO,2012,2013,Mixto
130,GYM JUVENIL,VIERNES,15:00,16:00,20,0,activo,100,,2005-2009,,2005,2009,Mixto
131,MAMAS FIT,VIERNES,16:00,17:00,20,0,activo,60,,,,,,Femenino
132,Básquet,MARTES,14:30,16:00,20,0,activo,120,Estándar,2017,,2017,2017,Mixto
133,Básquet,MARTES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,,2015,2016,Mixto
134,Básquet,MARTES,16:00,17:30,20,0,activo,120,Estándar,2014,,2014,2014,Mixto
135,Básquet,MARTES,16:00,17:30,20,0,activo,120,Estándar,2012-2013,,2012,2013,Mixto
136,Básquet,MARTES,17:30,19:00,20,0,activo,120,Estándar,2009,,2009,2009,Mixto
137,Básquet,MARTES,17:30,19:00,20,0,activo,120,Estándar,2010-2011,,2010,2011,Mixto
138,Básquet,JUEVES,14:30,16:00,20,0,activo,120,Estándar,2017,,2017,2017,Mixto
139,Básquet,JUEVES,14:30,16:00,20,0,activo,120,Estándar,2015-2016,,2015,2016,Mixto
140,Básquet,JUEVES,16:00,17:30,20,0,activo,120,Estándar,2011,,2011,2011,Mixto
141,Básquet,JUEVES,16:00,17:30,20,0,activo,120,Estándar,2012-2013,,2012,2013,Mixto
142,Básquet,JUEVES,17:30,19:00,20,0,activo,120,Estándar,2009-2008,,2008,2009,Mixto
143,Básquet,JUEVES,17:30,19:00,20,0,activo,120,Estándar,2010-2011,,2010,2011,Mixto
144,Básquet,SABADO,8:30,10:00,20,0,activo,120,Estándar,2009-2008,,2008,2009,Mixto
145,Básquet,SABADO,8:30,10:00,20,0,activo,120,Estándar,2010-2011,,2010,2011,Mixto
146,Básquet,SABADO,10:00,11:30,20,0,activo,120,Estándar,2012-2013,,2012,2013,Mixto
147,Básquet,SABADO,10:00,11:30,20,0,activo,120,Estándar,2014,,2014,2014,Mixto
148,Básquet,SABADO,11:30,13:00,20,0,activo,120,Estándar,2015-2016,,2015,2016,Mixto
149,Básquet,SABADO,11:30,13:00,20,0,activo,120,Estándar,2017,,2017,2017,Mixto
150,MAMAS FIT,LUNES,17:00,18:00,20,0,activo,60,Estándar,,,,,Femenino
151,GYM JUVENIL,MIERCOLES,15:00,16:00,20,0,activo,100,,2005-2009,,2005,2009,Mixto
152,MAMAS FIT,MIERCOLES,16:00,17:00,20,0,activo,60,,,,,,Femenino
153,MAMAS FIT,MIERCOLES,17:00,18:00,20,0,activo,60,,,,,,Femenino
154,MAMAS FIT,VIERNES,17:00,18:00,20,0,activo,60,,,,,,Femenino